Binary,Noise Type,Alpha,Epsilon,Best Test Error
True,u,0,0,4.02644230769231
True,u,10,0,12.9306891025641
True,u,20,0,17.8886217948718
True,u,30,0,21.0036057692308
True,u,40,0,20.9635416666667
True,u,50,0,25.0400641025641
True,u,60,0,32.7423878205128
True,u,70,0,32.6021634615385
True,u,80,0,33.984375
True,u,90,0,39.5833333333333
True,u,100,0,38.2512019230769
False,u,0,0,3.65584935897436
False,u,10,0,15.604967948718
False,u,20,0,23.6278044871795
False,u,30,0,31.9911858974359
False,u,40,0,31.6105769230769
False,u,50,0,44.5012019230769
False,u,60,0,49.8998397435897
False,u,70,0,47.9667467948718
False,u,80,0,52.5641025641026
False,u,90,0,53.896233974359
False,u,100,0,56.5204326923077
